Categoria,Texto
Turismo,"Turismo: esse é o Destino. <p><strong>Objetivo:</strong> Posicionar o turismo como vetor de desenvolvimento sustentável e aumentar a competitividade dos destinos e produtos turísticos brasileiros, democratizando o acesso à atividade turística aos cidadãos brasileiros.<br><br><strong>Órgão Responsável:</strong> Ministério do Turismo<br><br><strong>Página Oficial: </strong>https://www.gov.br/turismo/pt-br/</p>"
Desenvolvimento Agrário e Agricultura Familiar,"Agricultura Familiar e Agroecologia. <p><strong>Objetivo: </strong>Fortalecer a agricultura familiar em sua diversidade e a agroecologia, promovendo a inclusão socioeconômica, com fomento à produção sustentável e à geração de renda, contribuindo para a promoção da segurança alimentar e nutricional e da vida digna, com redução das desigualdades e mitigação das mudanças climáticas.<br><br><strong>Órgão Responsável: </strong>Ministério do Desenvolvimento Agrário<br><strong><br>Página Oficial:</strong> <a href=""https://www.gov.br/agricultura/pt-br/assuntos/mda/agricultura-familiar-1"" rel=""noopener noreferrer"" target=""_blank"">https://www.gov.br/agricultura/pt-br/assuntos/mda/agricultura-familiar-1</a></p>"
Agricultura e Pecuária,"Agropecuária Sustentável. <p>Objetivo: Contribuir para o desenvolvimento do setor agropecuário, com sustentabilidade ambiental, econômica e social, por meio do fomento e da intensificação da produção; da geração, compartilhamento e aplicação de conhecimento técnico-científico; e da regulamentação, certificação, auditoria e fiscalização agropecuária.</p><p>Órgão Responsável: Ministério da Agricultura e Pecuária</p><p>Página Oficial: http://www.gov.br/agricultura/pt-br/</p>"
Saúde,"Atenção Primária à Saúde. <p>Fortalecer a Atenção Primária à Saúde, ampliando a cobertura da Estratégia de Saúde da Família e da Saúde Bucal, com vistas à universalização do acesso, à abrangência do cuidado integral, à promoção da saúde, à prevenção de agravos e à redução de desigualdades de raça/etnia, de gênero, regionais e sociais</p><p><strong>Órgão Responsável</strong>: Ministério da Saúde</p><p><strong>Página Oficial</strong>: https://www.gov.br/saude/pt-br/</p><p>Foto: Divulgação/Governo Federal</p>"
Saúde,"Atenção Especializada à Saúde. <p>Ampliar o acesso às ações e serviços da Atenção Especializada à Saúde, conforme as necessidades de saúde da população, reduzindo as desigualdades de raça/etnia, de gênero, regionais e sociais, e promovendo a integralidade do cuidado</p><p><strong>Órgão Responsável</strong>: Ministério da Saúde</p><p><strong>Página Oficial</strong>: <a href=""https://www.gov.br/saude/pt-br/"" rel=""noopener noreferrer"" target=""_blank"">https://www.gov.br/saude/pt-br/</a></p><p>Foto: Divulgação/Ministério da Saúde</p>"
Comunicações,"Comunicações para Inclusão e Transformação. <p>Assegurar serviços de comunicações e conectividade, pela oferta inclusiva dos meios de acesso, com o desenvolvimento das habilidades digitais, dando ênfase aos grupos vulnerabilizados</p><p><strong>Órgão Responsável</strong>: Ministério das Comunicações</p><p><strong>Página Oficial</strong>: http://www.gov.br/mcom/pt-br/</p><p>Foto: Pablo Le Roy/Ministério das Comunicações</p>"
"Desenvolvimento e Assistência Social, Família e Combate à Fome","Bolsa Família: Proteção Social por Meio da Transferência de Renda e Articulação das Políticas Públicas. <p><strong>Objetivo</strong>: Reduzir a pobreza por meio da transferência de renda e do fortalecimento de acessos a serviços de educação, saúde, assistência social e inclusão socioeconômica.</p><p><strong>Órgão Responsável</strong>: Ministério do Desenvolvimento e Assistência Social, Família e Combate à fome</p><p><strong>Página Oficial</strong>: http://www.gov.br/cidadania/pt-br/</p>"
Minas e Energia,"Transição Energética. <p><strong>Objetivo: </strong>Coordenar, planejar e promover a redução do conteúdo de carbono da matriz energética brasileira, promovendo a manutenção da alta participação da oferta de energia limpas e renováveis e o aumento da eficiência energética, tanto na oferta quanto na logística de distribuição e no uso final de energia.<br><br><strong>Órgão Responsável: </strong>Ministério de Minas e Energia<br><br><strong>Página Oficial:</strong> http://www.gov.br/mme/pt-br/</p>"
Trabalho e Emprego,"Trabalho Digno, Emprego e Renda. <p><strong>Objetivo: </strong>Assegurar o trabalho digno, o acesso ao emprego e renda, proteção social e remuneração justa, garantindo segurança e saúde no trabalho, diálogo social, inclusão, acessibilidade e equidade no mundo do trabalho.<br><strong><br>Órgão Responsável: </strong>Ministério do Trabalho e Emprego<br><br><strong>Página Oficial:</strong> https://www.gov.br/trabalho-e-previdencia/pt-br/</p>"
Justiça e Segurança Pública,"Pronasci: Segurança Pública com Cidadania. <p><strong>Objetivo:</strong> Fortalecer a prevenção e o enfrentamento à violência e a criminalidade, promovendo a segurança pública cidadã, humanizada e integrada entre os entes federados e em articulação com a sociedade, com atenção especial à proteção de grupos sociais vulneráveis, de mulheres e pessoas negras.<br><br><strong>Órgão Responsável</strong>: Ministério da Justiça e Segurança Publica<br><br><strong>Página Oficial:</strong> http://www.gov.br/mj/pt-br/</p>"
Igualdade Racial,"Promoção da Igualdade etnicorracial, combate e superação do racismo. <p><strong>Objetivo:</strong> Promover a igualdade racial e combater o racismo, por meio da formulação, execução, articulação, monitoramento, governança interfederativa e avaliação de políticas públicas transversais, intersetoriais e afirmativas de reconhecimento e de acesso a bens e direitos, com vistas a assegurar o bem-viver, instituições antirracistas e uma sociedade justa, equitativa e democrática.<br><br><strong>Órgão Responsável:</strong> Ministério da Igualdade Racial<br><br><strong>Página Oficial: </strong>https://www.gov.br/igualdaderacial/pt-br/</p>"
"Desenvolvimento e Assistência Social, Família e Combate à Fome","Segurança Alimentar e Nutricional e Combate à Fome. <p>Promover a produção, a oferta, o acesso e o consumo de água e alimentos adequados e saudáveis, com base em sistemas alimentares sustentáveis, saudáveis e resilientes, priorizando os grupos populacionais vulnerabilizados e fortalecendo o Sistema de Segurança Alimentar&nbsp;e&nbsp;Nutricional.</p><p><strong>Órgão Responsável</strong>: Ministério do Desenvolvimento e Assistência Social, Família e Combate à fome</p><p><strong>Página Oficial</strong>: http://www.gov.br/cidadania/pt-br/</p><p>Foto: Divulgação/Governo Federal</p>"
Direitos Humanos e Cidadania,"Promoção da Cidadania, Proteção, Defesa dos Direitos Humanos e Reparação a Violações. <p><strong>Objetivo:</strong> Assegurar a cidadania de segmentos vulnerabilizados ou submetidos a violências diversas por meio de políticas de reparação por graves violações, de educação, de promoção e de defesa de direitos humanos.<br><br><strong>Órgão Responsável:</strong> Ministério dos Direitos Humanos e Cidadania<br><br><strong>Página Oficial:</strong> http://www.gov.br/mdh/pt-br/</p>"
Fazenda,"Política Econômica para o Crescimento e Desenvolvimento Socioeconômico Sustentável e Inclusivo. <p>Atuar para o crescimento econômico e desenvolvimento, com sustentabilidade fiscal, responsabilidade social e ambiental, para um sistema tributário justo e eficiente, ampliando a capacidade estatal de atender à sociedade e proteger os mais vulneráveis.<br><br><strong>Órgão Responsável:</strong> Ministério da Fazenda<br><strong><br>Página Oficial:</strong> http://www.gov.br/fazenda/pt-br/</p><p>Foto: Divulgação/Freepik</p>"
Pesca e Aquicultura,"Pesca e Aquicultura Sustentáveis. <p>Desenvolver a pesca e aquicultura de forma sustentável, por meio do fortalecimento das cadeias produtivas e considerando as dimensões ecológica, econômica, social e cultural dessas atividades, para gerar trabalho renda, contribuir para a segurança alimentar e melhorar a produtividade e a competitividade do setor.<br><br><strong>Órgão Responsável: </strong>Ministério da Pesca e Aquicultura<br><br><strong>Página Oficial:</strong> https://www.gov.br/mpa/pt-br</p><p>Foto: Divulgação/Freepik</p>"
"Ciência, Tecnologia e Inovação","Consolidação do Sistema Nacional de Ciência, Tecnologia e Inovação – SNCTI. <p>Recuperar, expandir, modernizar, consolidar e integrar o Sistema Nacional de Ciência, Tecnologia e Inovação, promovendo a articulação com a sociedade civil e os governos estaduais e municipais, a difusão de capacidades e a redução de assimetrias.</p><p><strong>Órgão Responsável</strong>: Ministério da Ciência Tecnologia e Informação</p><p><strong>Página Oficial</strong>: https://www.gov.br/mcti/pt-br/</p><p>Foto: Divulgação/Freepik</p>"
"Desenvolvimento, Indústria, Comércio e Serviços","Neoindustrialização. <p>Ampliar a inovação, a produtividade e a competitividade em direção a uma economia verde, diversificada, complexa e adensada, para o desenvolvimento econômico e social, a promoção de trabalho, a distribuição de renda e a redução das desigualdades sociais e regionais.<br><br><strong>Órgão Responsável</strong>: Ministério do Desenvolvimento, Indústria,Comércio e Serviços<br><br><strong>Página Oficial: </strong>http://www.gov.br/mdic/pt-br/</p><p>Foto: Divulgação/Freepik</p>"
Educação,"Creche e ensino em tempo Integral: Educação Básica. <p><strong>Objetivo</strong>: Elevar a qualidade e promover a equidade em todas as etapas e modalidades da Educação Básica, em regime de colaboração com os sistemas de ensino, valorizando os profissionais da educação básica, promovendo o acesso, a permanência, a conclusão de suas etapas, a trajetória regular e a aprendizagem em níveis adequados, com vistas à superação das desigualdades e a valorização da diversidade, na perspectiva do desenvolvimento integral, da inclusão, da sustentabilidade e da justiça social.</p><p><strong>Órgão Responsável</strong>: Ministério da Educação</p><p><strong>Página Oficial</strong>: http://www.gov.br/mec/pt-br/</p>"
Mulheres,"Mulheres: Viver sem Violência. <p><strong>Objetivo</strong>: Enfrentar todas as formas de violência contra as mulheres, baseadas em gênero, classe, raça e etnia, em toda a sua diversidade, nas esferas públicas e privadas, por meio da formulação, articulação, monitoramento, coordenação, governança interfederativa e avaliação de políticas transversais, intersetoriais, visando o pleno exercício da cidadania, livres de violências e ameaças.<br><br><strong>Órgão Responsável</strong>: Ministério das Mulheres<br><strong><br>Página Oficial:</strong> https://www.gov.br/mulheres/pt-br/</p>"
Cultura,"Direito à Cultura. <p>Consolidar a cultura e as artes como direitos e vetores de desenvolvimento humano, social, econômico, sustentável e territorial, valorizando a diversidade cultural e regional, as expressões artísticas e simbólicas e a pluralidade étnica, racial, de gênero e de territórios.</p><p><strong>Órgão Responsável: </strong>Ministério da Cultura</p><p><strong>Página Oficial</strong>: https://www.gov.br/cultura/pt-br</p><p>Foto: Divulgação/Freepik</p>"
Cidades,"Mobilidade Urbana. <p>Tornar sustentáveis, acessíveis e seguros os deslocamentos de pessoas e cargas nas cidades, priorizando o transporte não motorizado e o transporte público coletivo.<br><br><strong>Órgão Responsável:</strong> Ministério das Cidades<br><br><strong>Página Oficial:</strong> https://www.gov.br/cidades/pt-br/</p><p>Foto: Rovena Rosa/Agência Brasil</p>"
Cidades,"Moradia Digna   . <p>Promover moradia digna às famílias residentes em áreas urbanas e rurais com a garantia do direito à cidade, associado ao desenvolvimento urbano e econômico, à geração de trabalho e renda e à elevação dos padrões de habitabilidade e de qualidade de vida da população.<br><br><strong>Órgão Responsável: </strong>Ministério das Cidades<br><br><strong>Página Oficial: </strong>https://www.gov.br/cidades/pt-br/</p><p>Foto: Divulgação/Ministério das Cidades</p>"
