id,category/id, ,Ministério,Categoria 01,Categoria 02,Categoria 03,Escopo,MODERADOR,REVISOR,title/pt-BR,body/pt-BR,url,@,,Revisão de categorias,,
39,16,Meio Ambiente e Mudança do Clima,Educação,Ensino Fundamental,Alteração/inserção/ampliação currículo escolar ,Professores,,Diego,Igor,Educação Ambiental ,"Garantir nas escolas de alfabetização até o  grau médio, a Educação Ambiental,  como disciplina.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/39,,,Sim,,
40,18,Mulheres,Direitos Humanos e Cidadania,Educação,Ampliação de Infraestrutura,Prestação de serviços noturnos / Creches,Está no escopo,Diego,Igor,Pelo bem viver das mulheres ,"Construir creches noturnas, para que as mulheres, sobretudo as que são chefes de família,  terem onde deixar seus filhos em segurança para trabalhar sem a preocupação de deixar com terceiros.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/40,,,Sim,,
49,27,Saúde,Saúde,SUS ,Acessibilidade ,Vacinas / Farmácias Populares,Está no escopo,Diego,Igor,Proposta de programa n.01 ,Esse projeto visa melhorar o acesso à saúde pública em regiões distantes dos grandes centros urbanos.,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/49,,,Sim,,
56,8,Educação,Educação,Servidores Públicos,Valorização de servidores,Lei de Diretrizes e Bases da Educação / Professores,Está no escopo,Diego,Igor,Proposta de programa n.02 ,Programa de valorização de servidores da educação,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/56,,,Sim,,
60,36,Segurança Pública,Justiça e Segurança Pública,Ampliação de Infraestrutura,Ampliação da segurança ,,,Diego,Igor,Proposta de programa n.03 ,Câmeras de segurança nas ruas em perímetro que cerca as escolas públicas federais.,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/60,,,Sim,,
64,13,Infraestrutura,Transportes,Ampliação de Infraestrutura,Ampliação infraestrutura,BR 324 (MA - BA),Está no escopo,Diego,Igor,Construção dos dispositivos de acesso da Br 324 Bahia,"Implementação dos dispositivos de acesso na BR324, nos kms 545, 548 e 560, para garantir o direito básico de ir e vir com segurança da sociedade do Território Portal do Sertão",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/64,,,Sim,,
65,18,Mulheres,Previdência Social,Reforma previdência ,Mulheres ,Proposta de EC,Está no escopo,Diego,Igor,Aposentadoria das mulheres ,Que as idades para aposentadoria das mulheres fossem a idade menor para contribuição. E que as empresas fossem orientadas a contratar pessoas idosas se não estivessem aposentadas .,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/65,,,Sim,,
66,8,Educação,Educação,Ampliação de Infraestrutura,Reestruturação de unidades,Lei de Diretrizes e Bases da Educação / Fundo Nacional de Desenvolvimento da Educação - FNDE,Está no escopo,Diego,Igor,Padronização das unidades escolares ,"Reestruturação das unidades escolares de toda a Bahia, garantindo a padronização dos prédios, conforme orientações FNDE. Com construção de quadras, ampliação das salas de aula, Reestruturação dos banheiros e no refeitório. Garantindo equidade no processo de ensino aprendizagem",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/66,,,Sim,,
67,16,Meio Ambiente e Mudança do Clima,Meio Ambiente e Mudança do Clima,Ampliação de Infraestrutura,Ampliação da segurança ,IBAMA / Superintendência do Desenvolvimento do Nordeste / Áreas de Proteção Ambiental (APA),Escopo Municipal,Diego,Igor,"Potencializar a exploração sustentável da Cachoeira da Pedreira, no município de Amélia Rodrigues ","Oportunizar infraestrutura na Cachoeira da Pedreira( município de Amélia Rodrigues)-Ba), enquanto potencial de recurso Natural, configurando-a como Área de Proteção Ambiental (APA).",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/67,,,Sim,,
68,13,Infraestrutura , Integração e Desenvolvimento Regional,Ampliação de Infraestrutura,Iluminação Pública, Luz solar,Escopo Estadual e Municipal,Diego,Igor,Iluminação com lâmpadas solares nos postes dos parques,"Visto o grande número de roubos dos fios de cobre dos postes nos parques de João pessoa, a implementação de lâmpadas solares evitaria consideravelmente que os parques fiquem sem iluminação. Pois os mesmos são usados por crianças para brincar, idosos e demais pessoas para fazerem caminhadas, práticas esportivas. E hoje no parque Parahyba 1,2 e 3 a população vem sofrendo com a falta de iluminação, oque ocasiona maior perigo de assaltos na região.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/68,,,Sim,,
