category/name/pt-BR,title/pt-BR,body/pt-BR
Turismo,Turismo: esse é o Destino,"Objetivo: Posicionar o turismo como vetor de desenvolvimento sustentável e aumentar a competitividade dos destinos e produtos turísticos brasileiros, democratizando o acesso à atividade turística aos cidadãos brasileiros.Órgão Responsável: Ministério do TurismoPágina Oficial: https://www.gov.br/turismo/pt-br/"
Desenvolvimento Agrário e Agricultura Familiar,Agricultura Familiar e Agroecologia,"Objetivo: Fortalecer a agricultura familiar em sua diversidade e a agroecologia, promovendo a inclusão socioeconômica, com fomento à produção sustentável e à geração de renda, contribuindo para a promoção da segurança alimentar e nutricional e da vida digna, com redução das desigualdades e mitigação das mudanças climáticas.Órgão Responsável: Ministério do Desenvolvimento AgrárioPágina Oficial: https://www.gov.br/agricultura/pt-br/assuntos/mda/agricultura-familiar-1"
Agricultura e Pecuária,Agropecuária Sustentável,"Objetivo: Contribuir para o desenvolvimento do setor agropecuário, com sustentabilidade ambiental, econômica e social, por meio do fomento e da intensificação da produção; da geração, compartilhamento e aplicação de conhecimento técnico-científico; e da regulamentação, certificação, auditoria e fiscalização agropecuária.Órgão Responsável: Ministério da Agricultura e PecuáriaPágina Oficial: http://www.gov.br/agricultura/pt-br/"
Saúde,Atenção Primária à Saúde,"Fortalecer a Atenção Primária à Saúde, ampliando a cobertura da Estratégia de Saúde da Família e da Saúde Bucal, com vistas à universalização do acesso, à abrangência do cuidado integral, à promoção da saúde, à prevenção de agravos e à redução de desigualdades de raça/etnia, de gênero, regionais e sociaisÓrgão Responsável: Ministério da SaúdePágina Oficial: https://www.gov.br/saude/pt-br/Foto: Divulgação/Governo Federal"
Saúde,Atenção Especializada à Saúde,"Ampliar o acesso às ações e serviços da Atenção Especializada à Saúde, conforme as necessidades de saúde da população, reduzindo as desigualdades de raça/etnia, de gênero, regionais e sociais, e promovendo a integralidade do cuidadoÓrgão Responsável: Ministério da SaúdePágina Oficial: https://www.gov.br/saude/pt-br/Foto: Divulgação/Ministério da Saúde"
Comunicações,Comunicações para Inclusão e Transformação,"Assegurar serviços de comunicações e conectividade, pela oferta inclusiva dos meios de acesso, com o desenvolvimento das habilidades digitais, dando ênfase aos grupos vulnerabilizadosÓrgão Responsável: Ministério das ComunicaçõesPágina Oficial: http://www.gov.br/mcom/pt-br/Foto: Pablo Le Roy/Ministério das Comunicações"
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Bolsa Família: Proteção Social por Meio da Transferência de Renda e Articulação das Políticas Públicas,"Objetivo: Reduzir a pobreza por meio da transferência de renda e do fortalecimento de acessos a serviços de educação, saúde, assistência social e inclusão socioeconômica.Órgão Responsável: Ministério do Desenvolvimento e Assistência Social, Família e Combate à fomePágina Oficial: http://www.gov.br/cidadania/pt-br/"
Minas e Energia,Transição Energética,"Objetivo: Coordenar, planejar e promover a redução do conteúdo de carbono da matriz energética brasileira, promovendo a manutenção da alta participação da oferta de energia limpas e renováveis e o aumento da eficiência energética, tanto na oferta quanto na logística de distribuição e no uso final de energia.Órgão Responsável: Ministério de Minas e EnergiaPágina Oficial: http://www.gov.br/mme/pt-br/"
Trabalho e Emprego,"Trabalho Digno, Emprego e Renda","Objetivo: Assegurar o trabalho digno, o acesso ao emprego e renda, proteção social e remuneração justa, garantindo segurança e saúde no trabalho, diálogo social, inclusão, acessibilidade e equidade no mundo do trabalho.Órgão Responsável: Ministério do Trabalho e EmpregoPágina Oficial: https://www.gov.br/trabalho-e-previdencia/pt-br/"
Justiça e Segurança Pública,Pronasci: Segurança Pública com Cidadania,"Objetivo: Fortalecer a prevenção e o enfrentamento à violência e a criminalidade, promovendo a segurança pública cidadã, humanizada e integrada entre os entes federados e em articulação com a sociedade, com atenção especial à proteção de grupos sociais vulneráveis, de mulheres e pessoas negras.Órgão Responsável: Ministério da Justiça e Segurança PublicaPágina Oficial: http://www.gov.br/mj/pt-br/"
Igualdade Racial,"Promoção da Igualdade etnicorracial, combate e superação do racismo","Objetivo: Promover a igualdade racial e combater o racismo, por meio da formulação, execução, articulação, monitoramento, governança interfederativa e avaliação de políticas públicas transversais, intersetoriais e afirmativas de reconhecimento e de acesso a bens e direitos, com vistas a assegurar o bem-viver, instituições antirracistas e uma sociedade justa, equitativa e democrática.Órgão Responsável: Ministério da Igualdade RacialPágina Oficial: https://www.gov.br/igualdaderacial/pt-br/"
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Segurança Alimentar e Nutricional e Combate à Fome,"Promover a produção, a oferta, o acesso e o consumo de água e alimentos adequados e saudáveis, com base em sistemas alimentares sustentáveis, saudáveis e resilientes, priorizando os grupos populacionais vulnerabilizados e fortalecendo o Sistema de Segurança Alimentar e Nutricional.Órgão Responsável: Ministério do Desenvolvimento e Assistência Social, Família e Combate à fomePágina Oficial: http://www.gov.br/cidadania/pt-br/Foto: Divulgação/Governo Federal"
Direitos Humanos e Cidadania,"Promoção da Cidadania, Proteção, Defesa dos Direitos Humanos e Reparação a Violações","Objetivo: Assegurar a cidadania de segmentos vulnerabilizados ou submetidos a violências diversas por meio de políticas de reparação por graves violações, de educação, de promoção e de defesa de direitos humanos.Órgão Responsável: Ministério dos Direitos Humanos e CidadaniaPágina Oficial: http://www.gov.br/mdh/pt-br/"
Fazenda,Política Econômica para o Crescimento e Desenvolvimento Socioeconômico Sustentável e Inclusivo,"Atuar para o crescimento econômico e desenvolvimento, com sustentabilidade fiscal, responsabilidade social e ambiental, para um sistema tributário justo e eficiente, ampliando a capacidade estatal de atender à sociedade e proteger os mais vulneráveis.Órgão Responsável: Ministério da FazendaPágina Oficial: http://www.gov.br/fazenda/pt-br/Foto: Divulgação/Freepik"
Pesca e Aquicultura,Pesca e Aquicultura Sustentáveis,"Desenvolver a pesca e aquicultura de forma sustentável, por meio do fortalecimento das cadeias produtivas e considerando as dimensões ecológica, econômica, social e cultural dessas atividades, para gerar trabalho renda, contribuir para a segurança alimentar e melhorar a produtividade e a competitividade do setor.Órgão Responsável: Ministério da Pesca e AquiculturaPágina Oficial: https://www.gov.br/mpa/pt-brFoto: Divulgação/Freepik"
"Ciência, Tecnologia e Inovação","Consolidação do Sistema Nacional de Ciência, Tecnologia e Inovação – SNCTI","Recuperar, expandir, modernizar, consolidar e integrar o Sistema Nacional de Ciência, Tecnologia e Inovação, promovendo a articulação com a sociedade civil e os governos estaduais e municipais, a difusão de capacidades e a redução de assimetrias.Órgão Responsável: Ministério da Ciência Tecnologia e InformaçãoPágina Oficial: https://www.gov.br/mcti/pt-br/Foto: Divulgação/Freepik"
"Desenvolvimento, Indústria, Comércio e Serviços",Neoindustrialização,"Ampliar a inovação, a produtividade e a competitividade em direção a uma economia verde, diversificada, complexa e adensada, para o desenvolvimento econômico e social, a promoção de trabalho, a distribuição de renda e a redução das desigualdades sociais e regionais.Órgão Responsável: Ministério do Desenvolvimento, Indústria,Comércio e ServiçosPágina Oficial: http://www.gov.br/mdic/pt-br/Foto: Divulgação/Freepik"
Educação,Creche e ensino em tempo Integral: Educação Básica,"Objetivo: Elevar a qualidade e promover a equidade em todas as etapas e modalidades da Educação Básica, em regime de colaboração com os sistemas de ensino, valorizando os profissionais da educação básica, promovendo o acesso, a permanência, a conclusão de suas etapas, a trajetória regular e a aprendizagem em níveis adequados, com vistas à superação das desigualdades e a valorização da diversidade, na perspectiva do desenvolvimento integral, da inclusão, da sustentabilidade e da justiça social.Órgão Responsável: Ministério da EducaçãoPágina Oficial: http://www.gov.br/mec/pt-br/"
Mulheres,Mulheres: Viver sem Violência,"Objetivo: Enfrentar todas as formas de violência contra as mulheres, baseadas em gênero, classe, raça e etnia, em toda a sua diversidade, nas esferas públicas e privadas, por meio da formulação, articulação, monitoramento, coordenação, governança interfederativa e avaliação de políticas transversais, intersetoriais, visando o pleno exercício da cidadania, livres de violências e ameaças.Órgão Responsável: Ministério das MulheresPágina Oficial: https://www.gov.br/mulheres/pt-br/"
Cultura,Direito à Cultura,"Consolidar a cultura e as artes como direitos e vetores de desenvolvimento humano, social, econômico, sustentável e territorial, valorizando a diversidade cultural e regional, as expressões artísticas e simbólicas e a pluralidade étnica, racial, de gênero e de territórios.Órgão Responsável: Ministério da CulturaPágina Oficial: https://www.gov.br/cultura/pt-brFoto: Divulgação/Freepik"
Cidades,Mobilidade Urbana,"Tornar sustentáveis, acessíveis e seguros os deslocamentos de pessoas e cargas nas cidades, priorizando o transporte não motorizado e o transporte público coletivo.Órgão Responsável: Ministério das CidadesPágina Oficial: https://www.gov.br/cidades/pt-br/Foto: Rovena Rosa/Agência Brasil"
Cidades,Moradia Digna   ,"Promover moradia digna às famílias residentes em áreas urbanas e rurais com a garantia do direito à cidade, associado ao desenvolvimento urbano e econômico, à geração de trabalho e renda e à elevação dos padrões de habitabilidade e de qualidade de vida da população.Órgão Responsável: Ministério das CidadesPágina Oficial: https://www.gov.br/cidades/pt-br/Foto: Divulgação/Ministério das Cidades"
Povos Indígenas,"Direitos Pluriétnicos Territoriais, Culturais e Sociais cidadania e o bem viver dos Povos Indígenas","Objetivo: Reconhecer e efetivar os direitos pluriétnico-culturais e sociais dos Povos Indígenas, assegurando a preservação e a valorização dos seus saberes, culturas, tradições, línguas e memórias, bem como o pleno exercício da cidadania e o acesso culturalmente adequado às políticas e serviços públicos de garantia dos direitos sociais, respeitando sua autodeterminação, sua pluralidade étnico-cultural e seu protagonismo na gestão das políticas públicas que lhes são afetas.Órgão Responsável: Ministério dos Povos IndígenasPágina Oficial: https://www.gov.br/pt-br/orgaos/ministerio-dos-povos-indigenas"
Educação,Mais Universidade: Educação Superior,"Objetivo: Ampliar o acesso, a permanência e a formalçao de qualidade na graduação e na pós-graduação, com vistas à superação das desigualdades e a valoraização da diversidade, na perspectiva da equidade, da inclusão e da sustentabilidade, fortalecendo a ciência, a tecnologia, a inovação nas atividades de ensino, pesquisa e extensão e aperfeiçoando a avaliação, a supervisão e a regulação de forma participativa para o desenvolvimento do país.Órgão Responsável: Ministério da EducaçãoPágina Oficial: http://www.gov.br/mec/pt-br/"
Secretaria Geral da Presidência da República,"Juventude: Direitos, participação e bem viver","Assegurar o exercício de direitos pelos jovens mediante a implementação e execução da Política Nacional de Juventude e da ampliação de acesso a serviços e equipamentos públicos, valorizando os jovens sujeitos de direito, em especial os segmentos mais vulnerabilizados da população.Órgão Responsável: Presidência da RepúblicaPágina Oficial: https://www.gov.br/secretariageral/pt-br/Foto: Divulgação/Freepik"
Trabalho e Emprego,"Economia Popular, Solidária e Sustentável","Promover a organização coletiva autogestionária, inclusiva e com acessibilidade, fundamentada na cooperação interseccional e na redistribuição, nos princípios comunitários, na participação e educação popular e socioambiental, na construção de redes produtivas e na valorização das dinâmicas territoriais.Órgão Responsável: Ministério do Trabalho e EmpregoPágina Oficial: https://www.gov.br/trabalho-e-previdencia/pt-br/Foto: Divulgação/Freepik"
Esporte,Esporte para Vida,"Promover o o acesso da população ao esporte e à atividade física ao longo da vida, por meio do Sistema Nacional de Esporte, em espaços apropriados e acessíveis, que contemplem as dimensões de lazer, educacional, amadora e de alto desempenho, garantindo diversidade, inclusão social e qualidade de vida, em consonância com os valores do esporte.Órgão Responsável: Ministério do EsportePágina Oficial: https://www.gov.br/esporte/pt-brFoto: Divulgação/Freepik"
Meio Ambiente e Mudança do Clima,Enfrentamento da Emergência Climática,"Objetivo: Fortalecer a ação nacional frente às alterações do clima, enfrentando os desafios da redução de impactos climáticos e adaptação; e promovendo a resiliência aos eventos climáticos extremos, viabilizando de forma transversal as oportunidades da transição para a economia de baixo carbono.Órgão Responsável: Ministério do Meio AmbientePágina Oficial: https://www.gov.br/mma/pt-br/"
Meio Ambiente e Mudança do Clima,Enfrentamento da Emergência Climática,"Objetivo: Fortalecer a ação nacional frente às alterações do clima, enfrentando os desafios da redução de impactos climáticos e adaptação; e promovendo a resiliência aos eventos climáticos extremos, viabilizando de forma transversal as oportunidades da transição para a economia de baixo carbono.Órgão Responsável: Ministério do Meio AmbientePágina Oficial: https://www.gov.br/mma/pt-br/"
Desenvolvimento Agrário e Agricultura Familiar,Agricultura Familiar e Agroecologia,"Fortalecer a agricultura familiar em sua diversidade e a agroecologia, promovendo a inclusão socioeconômica, com fomento à produção sustentável e à geração de renda, contribuindo para a promoção da segurança alimentar e nutricional e da vida digna, com redução das desigualdades e mitigação das mudanças climáticas.Órgão Responsável: Ministério do Desenvolvimento Agrário e Agricultura FamiliarPágina Oficial: https://www.gov.br/agricultura/pt-br/assuntos/mda/agricultura-familiar-1Foto: Divulgação/Ministério do Desenvolvimento Agrário e Agricultura Familiar "
Agricultura e Pecuária,Produção Agropecuária Sustentável,"Contribuir para o desenvolvimento do setor agropecuário, com sustentabilidade ambiental, econômica e social, por meio do fomento e da intensificação da produção; da geração, compartilhamento e aplicação de conhecimento técnico-científico; e da regulamentação, certificação, auditoria e fiscalização agropecuária.Órgão Responsável: Ministério da Agricultura e PecuáriaPágina Oficial: http://www.gov.br/agricultura/pt-br/Foto: Divulgação/Ministério da Agricultura e Pecuária "
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Bolsa Família: Proteção Social por meio da Transferência de Renda e da Articulação de Políticas Públicas,"Reduzir a pobreza por meio da transferência de renda e do fortalecimento de acessos a serviços de educação, saúde, assistência social e inclusão socioeconômica.Órgão Responsável: Ministério do Desenvolvimento e Assistência Social, Família e Combate à fomePágina Oficial: http://www.gov.br/cidadania/pt-br/Foto: Divulgação/Governo Federal"
Turismo,"Turismo, esse é o Destino","Posicionar o turismo como vetor de desenvolvimento sustentável e aumentar a competitividade dos destinos e produtos turísticos brasileiros, democratizando o acesso à atividade turística aos cidadãos brasileiros. Órgão Responsável: Ministério do Turismo Página Oficial: https://www.gov.br/turismo/pt-br/Foto: Divulgação/Freepik"
