;;;;;;;;;;
Título do Acordo;Tipo do Acordo;;;Outra Parte;Assuntos;Nº de Série;Nº da Pasta;;Data;Status da Tramitação 
Acordo-Quadro entre o Governo da República Federativa do Brasil e o Governo do Canadá sobre Cooperação em Matéria de Defesa.;Bilateral;;;Canadá;"Defesa e Assuntos Militares 
Cooperação";12698;115;;27/06/2023;Tramitação MRE
Memorando de Entendimento sobre Diálogo Consular entre o Ministério das Relações Exteriores da República Federativa do Brasil e o Ministério das Relações Exteriores do Estado Plurinacional da Bolívia;Bilateral;;;Bolívia;Relações Diplomáticas e Consulares;12697;284;;30/05/2023;Em Vigor
Memorando de Entendimento sobre Cooperação Acadêmica entre o Instituto Rio Branco do Ministério das Relações Exteriores da República Federativa do Brasil e a Academia Diplomática Plurinacional do Ministério de Relações Exteriores do Estado Plurinacional da Bolívia;Bilateral;;;Bolívia;Academias Diplomáticas;12695;283;;30/05/2023;Em Vigor
MEMORANDO DE ENTENDIMENTO ENTRE O MINISTÉRIO DAS RELAÇÕES EXTERIORES DA REPÚBLICA FEDERATIVA DO BRASIL E O MINISTÉRIO DO PODER POPULAR PARA RELAÇÕES EXTERIORES DA REPÚBLICA BOLIVARIANA DA VENEZUELA PARA O ESTABELECIMENTO DO MECANISMO DE SUPERVISÃO E SEGUIMENTO DA COOPERAÇÃO BILATERAL BRASIL-VENEZUELA;Bilateral;;;Venezuela;Cooperação;12694;158;;30/05/2023;Em Vigor
Declaração Conjunta de Brasília entre o Presidente da República Federativa do Brasil, Luiz Inácio Lula da Silva e o Presidente da República Bolivariana da Venezuela, Nicolás Maduros Moros;Bilateral;;;Venezuela;Declaração Conjunta;12690;157;;30/05/2023;Tramitação MRE
Acordo sobre Serviços Aéreos entre a República Federativa do Brasil e a República da Finlândia.;Bilateral;;;Finlândia;Transporte Aéreo;12689;21;;01/06/2023;Tramitação MRE
Memorando de Entendimento entre o Instituto Rio Branco do Ministério das Relações Exteriores da República Federativa do Brasil e o Instituto de Relações Exteriores Devawongse Varopakarn do Ministério das Relações Exteriores do Reino da Tailândia sobre Cooperação Mútua para a Formação de Diplomatas.;Bilateral;;;Tailândia;Academias Diplomáticas;12688;11;;26/05/2023;Em Vigor
Tratado de Extradição entre o Governo da República Federativa do Brasil e o Governo dos Estados Unidos Mexicanos;Bilateral;;;México;Extradição;12687;133;;28/04/2023;Tramitação MRE
Memorando de Entendimento sobre a Colaboração Acadêmico-Diplomática entre o Ministério das Relações Exteriores da República Federativa do Brasil e a Secretaria de Relações Exteriores dos Estados Unidos Mexicano;Bilateral;;;México;Academias Diplomáticas;12686;132;;28/04/2023;Em Vigor
Memorando de Entendimento sobre Cooperação Acadêmica entre o Instituto Rio Branco do Ministério das Relações Exteriores da República Federativa do Brasil e o Ministério dos Negócios Estrangeiros, Cooperação Internacional e das Comunidades da Guiné-Bissau;Bilateral;;;Guiné Bissau;Academias Diplomáticas;12685;40;;27/04/2023;Em Vigor
