ID,Tema,Ministério,Categoria 1,Categoria 2,Título,#CUIDADO,Corpo,Status,Data de publicação,URL,
2,Agricultura e Pecuária,Agricultura e Pecuária,Agricultura Familiar,Baixa Renda,Agricultura Familiar e Agroecologia,Não,"<p><strong>Objetivo: </strong>Fortalecer a agricultura familiar em sua diversidade e a agroecologia, promovendo a inclusão socioeconômica, com fomento à produção sustentável e à geração de renda, contribuindo para a promoção da segurança alimentar e nutricional e da vida digna, com redução das desigualdades e mitigação das mudanças climáticas.<br><br><strong>Órgão Responsável: </strong>Ministério do Desenvolvimento Agrário<br><strong><br>Página Oficial:</strong> <a href=""https://www.gov.br/agricultura/pt-br/assuntos/mda/agricultura-familiar-1"" rel=""noopener noreferrer"" target=""_blank"">https://www.gov.br/agricultura/pt-br/assuntos/mda/agricultura-familiar-1</a></p><p><img src=""/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBMdz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--65496e777ab03cbf388aa16a201ed2ea0f994d21/1%20-Agricultura%20Familiar%20e%20Agroecologia.png""></p>",,10.05.2023 19:22:51,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/2,14
3,Agricultura e Pecuária,"Desenvolvimento e Assistência Social, Família e Combate à Fome",Agropecuária,Fontes Alternativas de Energia / Sustentabilidade,Agropecuária Sustentável,Não,"<p>Objetivo: Contribuir para o desenvolvimento do setor agropecuário, com sustentabilidade ambiental, econômica e social, por meio do fomento e da intensificação da produção; da geração, compartilhamento e aplicação de conhecimento técnico-científico; e da regulamentação, certificação, auditoria e fiscalização agropecuária.</p><p>Órgão Responsável: Ministério da Agricultura e Pecuária</p><p>Página Oficial: http://www.gov.br/agricultura/pt-br/</p>",,10.05.2023 19:35:47,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/3,
4,Saúde,Saúde,Saúde,Atenção Primária,Atenção Primária à Saúde,Sim,"<p><strong>Objetivo</strong>: Ampliar o acesso às ações e serviços da Atenção Especializada à Saúde, conforme as necessidades de saúde da população, reduzindo as desigualdades de raça/etnia, de gênero, regionais e sociais, e promovendo a integralidade do cuidado </p><p><strong>Órgão Responsável</strong>: Ministério da Saúde </p><p><strong>Página Oficial</strong>: <a href=""https://www.gov.br/saude/pt-br/"" rel=""noopener noreferrer"" target=""_blank"">https://www.gov.br/saude/pt-br/</a> </p>",,10.05.2023 19:41:01,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/4,
5,Saúde,Saúde,Atenção Primária,Saúde da Família,Atenção Primária à Saúde,Sim,"<p><strong>Objetivo</strong>: Fortalecer a Atenção Primária à Saúde, ampliando a cobertura da Estratégia de Saúde da Família e da Saúde Bucal, com vistas à universalização do acesso, à abrangência do cuidado integral, à promoção da saúde, à prevenção de agravos e à redução de desigualdades de raça/etnia, de gênero, regionais e sociais</p><p><strong>Órgão Responsável</strong>: Ministério da Saúde</p><p><strong>Página Oficial</strong>: https://www.gov.br/saude/pt-br/</p>",,10.05.2023 19:42:43,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/5,
6,"Desenvolvimento e Assistência Social, Família e Combate à Fome","Desenvolvimento e Assistência Social, Família e Combate à Fome",Bolsa Família,Sustentabilidade / Baixa Renda,Bolsa Família: Proteção Social por Meio da Transferência de Renda e Articulação das Políticas Públicas,Não,"<p><strong>Objetivo</strong>: Reduzir a pobreza por meio da transferência de renda e do fortalecimento de acessos a serviços de educação, saúde, assistência social e inclusão socioeconômica. </p><p><strong>Órgão Responsável</strong>: Ministério do Desenvolvimento e Assistência Social, Família e Combate à fome </p><p><strong>Página Oficial</strong>: http://www.gov.br/cidadania/pt-br/ </p>",,10.05.2023 19:43:27,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/6,
7,Comunicações,Comunicações,Inclusão Digital,Acesso à Informação,Brasil Conectado: Comunicações para Inclusão e Transformação,Não,"<p><strong>Objetivo</strong>: Assegurar serviços de comunicações e conectividade, pela oferta inclusiva dos meios de acesso, com o desenvolvimento das habilidades digitais, dando ênfase aos grupos vulnerabilizados</p><p><strong>Órgão Responsável</strong>: Ministério das Comunicações</p><p><strong>Página Oficial</strong>: http://www.gov.br/mcom/pt-br/</p>",,10.05.2023 19:44:34,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/7,
38,Casa Civil,Secretaria Geral da Presidência da República,Participação Social,Governo Federal,Programa de participação ,Não,Participação Social no governo federal,,10.05.2023 23:12:11,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/38,
39,Meio Ambiente e Mudança do Clima,Meio Ambiente e Mudança do Clima,Ensino Fundamental,Alteração/inserção/ampliação currículo escolar,Educação Ambiental ,Não,"Garantir nas escolas de alfabetização até o  grau médio, a Educação Ambiental,  como disciplina.","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo!</p><p>Divulgue na sua rede:  </p><p>Vote na minha proposta para melhorar o Brasil: <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/39"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/39</a>  </p>",11.05.2023 00:45:03,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/39,
40,Mulheres,Direitos Humanos e Cidadania,Educação,Ampliação de Infraestrutura,Pelo bem viver das mulheres ,Sim,"Construir creches noturnas, para que as mulheres, sobretudo as que são chefes de família,  terem onde deixar seus filhos em segurança para trabalhar sem a preocupação de deixar com terceiros.","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo!    </p><p>Divulgue na sua rede:  </p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/40"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/40</a> </p>",11.05.2023 00:49:42,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/40,
49,Saúde,Saúde,SUS,Acessibilidade,Proposta de programa n.01 ,Não,Esse projeto visa melhorar o acesso à saúde pública em regiões distantes dos grandes centros urbanos.,,11.05.2023 02:13:11,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/49,
