Categoria,Texto,id_cats
Pesca e Aquicultura,"Pesca e Aquicultura Sustentáveis. Desenvolver a pesca e aquicultura de forma sustentável, por meio do fortalecimento das cadeias produtivas e considerando as dimensões ecológica, econômica, social e cultural dessas atividades, para gerar trabalho renda, contribuir para a segurança alimentar e melhorar a produtividade e a competitividade do setor.",12
Povos Indígenas,"Direitos Pluriétnicos Territoriais, Culturais e Sociais cidadania e o bem viver dos Povos Indígenas. Objetivo: Reconhecer e efetivar os direitos pluriétnico-culturais e sociais dos Povos Indígenas, assegurando a preservação e a valorização dos seus saberes, culturas, tradições, línguas e memórias, bem como o pleno exercício da cidadania e o acesso culturalmente adequado às políticas e serviços públicos de garantia dos direitos sociais, respeitando sua autodeterminação, sua pluralidade étnico-cultural e seu protagonismo na gestão das políticas públicas que lhes são afetas.",19
Secretaria Geral da Presidência da República,"Juventude: Direitos, participação e bem viver. Assegurar o exercício de direitos pelos jovens mediante a implementação e execução da Política Nacional de Juventude e da ampliação de acesso a serviços e equipamentos públicos, valorizando os jovens sujeitos de direito, em especial os segmentos mais vulnerabilizados da população.",20
Povos Indígenas,"Direitos Pluriétnicos-Culturais e Sociais para a cidadania e o bem viver dos Povos Indígenas. Reconhecer e efetivar os direitos pluriétnico-culturais e sociais dos Povos Indígenas, assegurando a preservação e a valorização dos seus saberes, culturas, tradições, línguas e memórias, bem como o pleno exercício da cidadania e o acesso culturalmente adequado às políticas e serviços públicos de garantia dos direitos sociais, respeitando sua autodeterminação, sua pluralidade étnico-cultural e seu protagonismo na gestão das políticas públicas que lhes são afetas.",19
Povos Indígenas,"Proteção Dos Povos Indígenas. Proteção aos povos indígenas, em diversas áreas, respeitando suas tradições, línguas e costumes, devolvendo a eles o direito de viver em paz em suas terras, uma guarda florestal ARMADA eficiente que dê a proteção e o direito de defesa aos povos indígenas, com amparo da justiça federal, apoio das forças armadas, PF e outros órgãos de defesa, também levar até eles saúde, educação e segurança alimentar, enquanto a recuperação total da região ainda não foi concluída.
Pondo fim a todas ameaças.",19
Secretaria Geral da Presidência da República,"Apoio aos catadores e catadoras da reciclagem. Galpões para as cooperativas de reciclagem, maquinário e capital de giro. Educação específica para a categoria, que tem um projeto chamado PONAREP, que vai apoiar a educação e a reciclagem popular, voltada à categoria dos catadores. Aposentadoria especial (dar andamento à PEC). Melhoria na saúde dos trabalhadores da categoria, com feiras dentro das cooperativas e associações. 
- Movimento Nacional dos Catadores e Catadoras de Material Reciclado do Brasil. MNCR",20
Relações Exteriores,"Passaporte mais rapido e menos burocratico . Se exige muitos documentos para renovar o passaporte, isso só sobrecarrega as embaixadas que as vezes demoram muito para emitir um novo passaporte, ou outros serviços, sobretudo quando a pessoa morra fora do Brasil, muitas pessoas reclamam da quantidade de papeis para renovar um passaporte que na logica e comparado com outros países que só pedem a taxa para emissão do passaporte, 2 fotos e comprovante de identidade, com a modernização das tecnologias o MRE deveria emitir passaportes mais rapido",31
Secretaria Geral da Presidência da República,"Reedição e atualização do programa território de cidadania. 1. Aumentar a participação social
2. Melhorar os resultados da execução das politicas públicas nos territórios de cidadania
3. Definir os territórios de cidadania como local privilegiado para a produção de alimentos saudáveis com base em processos também saudáveis na produção.",20
Povos Indígenas,"PNGATI - Gestão territorial e ambiental. Estabelecer programas, projetos e ações voltadas à implementação da Política Nacional de Gestão Territorial e Ambiental de Terras Indígenas, promovendo o etnodesenvolvimento, a partir da sustentabilidade dos territórios indígenas, da justiça ambiental e climática, da preservação da biodiversidade e das diferentes formas de bem viver dos povos indígenas, com respeito à diversidade social e cultural e ao usufruto exclusivo e às formas próprias de gestão das riquezas naturais das terras indígenas",19
Povos Indígenas,"Regularização fundiária dos Povos Indígenas no Brasil. Garantir dotação orçamentária para a implementação das diferentes etapas dos processos de demarcação territorial e de aquisição, além da desintrusão de terras indígenas já homologadas, garantindo ações de defesa, vigilância, monitoramento, fiscalização e prevenção de conflitos em terras indígenas, realizando ações conjuntas de retirada de invasores, pela Funai em parceria com os demais órgãos e entidades da administração pública federal, estadual, municipal e do Distrito Federal.",19
Povos Indígenas,"Implementação de políticas públicas específicas nos Territórios Indígenas no Brasil. Promover a implementação de políticas específicas voltadas à garantia de educação escolar e saúde indígena, bem como, realizar a inclusão dos povos indígenas nas ações, projetos e programas de etnodesenvolvimento dos territórios indígenas, habitacionais, de garantia e geração de renda, acesso à eletrificação rural e o financiamento das cadeias e arranjos produtivos indígenas no Brasil",19
Secretaria Geral da Presidência da República,"Programa de desenvolvimento e oportunidades de carreira para a juventude. A proposta consiste em oferecer cursos gratuitos de engenharia de robôs para capacitar jovens em habilidades relacionadas a tecnologias e robótica, visando prepará-los para a era digital e aumentar a empregabilidade na área. É necessário estabelecer parcerias com escolas e universidades locais, empresas e organizações para fornecer experiências práticas de trabalho e oportunidades de emprego, além de coletar feedbacks dos participantes para melhorar o programa.",20
Secretaria Geral da Presidência da República,"Democracia Direta. Consulta Pública ANUAL a População pra DEFINIR os rumos do Orcamento Anual, O PODER nas Mãos do Povo funciona como um Limite ao Poder na mãos dos Políticos.

Gostei da proposta do Brasil Participativo, mas QUERO SER OUVIDO muito mais. até nos municípios.",20
Secretaria Geral da Presidência da República,"Acesso a primeira residência própria na juventude - Interiores Nordestinos. Programa destinado a aquisição de moradia própria para Jovens de 24 a 30 anos (ou dependendo da situação alterar) para a sua primeira residência. O programa seria vinculado ao Minha Casa Minha Vida, além de consócios das casas populares, financiamento, além de fornecer 50% de uma construção de moradia e terreno ao Jovem.
Com essa proposta a análise tanto econômica e histórico familiar seriam coletadas, renda e motivo de adquirir sua primeira residência desde que contribua socialmente.",20
Secretaria Geral da Presidência da República,"Realização de plebiscitos em medidas que interfiram diretamente na população.. Os plebiscitos são importantes para a democracia, uma vez que permite com que a população decida o que é melhor para ela.
Medidas como o Novo Ensino Médio, a qual não teve apoio da massa (os estudantes e professores), não podem ser executadas dessa forma. Os plebiscitos permitem medidas diretas da população, críticas e mudanças em leis já vigentes no país.
Sem esquecer o papel do Congresso Nacional, obviamente, referendos também podem ser convocados.
Essa medida reforça a democracia direta.",20
Secretaria Geral da Presidência da República,"Movimento Nacional para Educação Popular de Base: Mutirão de Educadores Populares para o despertar da consciênica política e cidadã .. Movimento nacional em mutirão/agentes comunitários visando a formação de cidadãos atuantes na ação transformadora da sociedade. Ojetivos: 1) Fortalecimento da democracia para enfrentamento às ameaças do neoliberalismo , extrema direita, nazifascismo; 2) Despertar de uma consciência política/cidadã que transforme os cidadãos em protagonistas das lutas socias em defesa da vida ( Teto, Terra e Trabalho/Renda), visando o combate a forme e a redução das desigualdades,",20
Secretaria Geral da Presidência da República,"Centro de Referência das Juventudes. O Centro de Referência das Juventudes tem como objetivo criar um espaço para promoção de políticas públicas voltadas para a juventude, com foco na promoção da igualdade racial, de gênero e de diversidade sexual. O centro irá oferecer serviços e atividades para atender às demandas dos jovens, além de promover a participação social e política, reduzir a violência e exclusão social, ampliar o acesso aos serviços públicos, oferecer capacitações e promover a integração dos jovens na sociedade.",20
Secretaria Geral da Presidência da República,"Programa Aqui Tem Jovem. Programa Nacional de incentivo a geração de oportunidades de emprego para a juventude. O governo concederá isenções de tributos e incentivos ficais a empresas e organizações que tiveram jovens de 15 a 29 anos nos seus quadros de colaboradores, além disso, disponibilizará repasses financeiros para municípios que tenham programas de estágios (remunerado ou não) e outras politicas de empregabilidade destinada a juventude.",20
Secretaria Geral da Presidência da República,"Nova Lei da Mídia Democrática. Elaborar Projeto de Lei das Comunicações, com ampla participação popular, com vistas a atualizar a legislação vigente, que data de 1962 e já não contempla mais as mudanças ocorridas no campo da comunicação ao longo das décadas, prezando, inclusive, pela necessidade de maior democracia no que se refere ao sistema das comunicações no Brasil.",20
Secretaria Geral da Presidência da República,"Cadê as juventudes? - Plataforma de monitoramento e mapeamento de políticas. Criação de plataforma federal de monitoramento de políticas públicas voltadas para as juventudes, com o objetivo de mapear iniciativas e projetos a nível municipal e estadual, para assim ter a consolidação de dados focados especificamente nesse público. Nesse sentido, é fundamental que haja um mecanismo de acesso e acompanhamento de informações referentes às juventudes como forma de garantir a Lei de Acesso à Informação, primordiais para reivindicação de direitos.
gid://decide/Decidim::Hashtag/1/PropostaColetiva",20
Relações Exteriores,"Aprimoramento da plataforma Concórdia para fins de transparecer a horizontalidade do processo de internalização dos Tratados Internacionais.. A presente proposta tem por finalidade conferir uma maior transparência ao processo de internalização dos atos internacionais celebrados pelo Governo brasileiro. A Plataforma Concórdia, mostra-se como uma importante e inovadora ferramenta para promover a transparência ao público, no entanto, o repositório ainda carece de ajustes, pois as fases de tramitação dos atos poderiam ser mais detalhadas e demonstrada uma maior horizontalidade no processo, com uma maior participação dos órgãos envolvidos.",31
Secretaria Geral da Presidência da República,"Conselhos de Políticas . Criar um projeto programa ou algo que faça com que os poderes respeitem e cumpra sua parte junto aos conselhos existentes, os mais de 50 conselhos existentes no País não são respeitados e alguns nem conseguem desenvolver seu papel, e que possam receber auxílio que lhe é devido, que possamos ter condições físicas matériais psicológica de poder exercer nossa função. Que o respeito e o reconhecimento possa ser manifestado nos locais públicos privados onde houver agenda reuniões.",20
Pesca e Aquicultura,"Fortalecer de forma sustentável a indústria pesqueira no litoral brasileiro. Investir na profissionalização e na infraestrutura da indústria pesqueira no litoral brasileiro, de maneira a ampliar a participação desse setor na economia nacional, manter a exploração marinha equilibrada e sustentável e desenvolver os profissionais da pesca, garantindo emprego e renda justos.",12
Secretaria Geral da Presidência da República,"Fortalecimento do Controle Social. Fortalecimento das instâncias de controle social: conselhos de direitos, fóruns da sociedade civil e conferências nos três níveis de governo, mediante aporte de recursos financeiros e tecnológicos para o funcionamento dos coletivos, do incremento de recursos humanos para operacionalização das ações e viabilização da efetiva participação social.",20
Povos Indígenas,"Bem viver no espaço urbano. Pessoas de origem ind´ígena não são reconhecidas no espaço urbano. Incentivo ao uso de aprimoramento do transporte público urbano, Criação de espaços coletivos para trocas e empréstimo, como se faz de livro, mas de materiais de uso pouco comum, como escadas, furadeiras, entre outros. Criação de hortas urbanas em terrenos desocupados e praças públicas. Criação de casas de acolhimento coletivas, supervisionadas, para pessoas que estão em situação de rua.",19
Pesca e Aquicultura,"Fortalecimento da piscicultura familiar. . Programas de incentivo à piscicultura familiar, com apresentação de novas tecnologias de cultivo sustentável e econômico, seja o cultivo em tanques escavados ou em caixas d’ água, Fortalecendo a produção de pescado, gerando alimento, renda, emprego e fixação do homem no campo.",12
Secretaria Geral da Presidência da República,"Casa do Projeto Popular: Espaço das Juventudes. Propomos  a construção de um espaço físico que agregue diferentes movimentos sociais e organizações da sociedade civil  com foco nas políticas públicas de Juventude. O objetivo da Casa do projeto popular é criar  um ambiente capaz de gerar acolhimento para os jovens de periferia, realizando atividades de Educação, formação política, atividades artísticas e culturais. A casa vem como ferramenta política para fortalecer as organizações do campo popular que também buscam incidir na política do país",20
Pesca e Aquicultura,Pesca artesanal. Criar projetos para pescadores artesanais ribeirinhos que complementem sua renda familiar agregando valor ao pescado.,12
Secretaria Geral da Presidência da República,"Conselhos Gestores e Participativos de Cidadãos . Proposta de Conselhos Gestores e Participativos de Cidadãos-CGPCs , conduzidos p/estado, devido aos recursos utilizados em cada unidade da federação, onde os cidadãos começariam uma iniciativa popular de projetos de lei  interesse específico do município, através de manifestação de, pelo menos, 5% do eleitorado. Estes Conselhos teriam parceria com OSCIPs, GovernançaBrasil e outros. Para propostas de melhorias. Palestras com especialistas em educação, segurança, saúde e bem estar social ...",20
Secretaria Geral da Presidência da República,"Reforma Política. Realizar uma reforma política urgente. 
-Diminuindo a propagação de tantos partidos a bel prazer;
-Proibindo a reeleição de prefeitos, governadores e presidente da República, e nesse sentindo, poderia se estender a duração dos mandatos;",20
Secretaria Geral da Presidência da República,"Democracia em Ação: Recursos Públicos para Campanhas de Sensibilização à Participação e Fomento ao Controle Social. A participação cidadã é a pedra angular de uma democracia saudável.
Para fortalecer nossa democracia, propomos uma iniciativa para alocar recursos públicos para campanhas de comunicação, divulgação e sensibilização que incentivem a participação cidadã e o controle social. Essas campanhas informarão e educarão os cidadãos sobre seus direitos e deveres, incentivando-os a se envolver ativamente nas decisões políticas e sociais. Além disso, elas destacarão a importância do controle social para garan",20
Povos Indígenas,"Regularização Fundiária em Roraima . Garantir dotação orçamentária para a implementação das diferentes etapas dos processos de demarcação, ampliação e homologação territorial em Roraima, além da desintrusão de invasores não indígenas de terras indígenas já homologadas, garantindo ações de proteção, vigilância, monitoramento, fiscalização e prevenção de conflitos em terras indígenas pela Funai de Roraima.",19
Povos Indígenas,"Incentivo a Agricultura Sustentável Indígena. Garantir dotação orçamentária à Funai em Roraima para o incentivo do desenvolvimento da agricultura indígena sustentável por meio de implementação dos PGTAs já construídas das terras indígenas em Roraima. Afim de proteger os recursos naturais e valorizar os conhecimentos tradicionais para a prática de atividades produtivas, agregando e conservando as sementes tradicionais para o fortalecimento da soberania e segurança alimentar.",19
Povos Indígenas,"Implementação e Construção do PGTA Acre. Implementação e construção do plano de gestão territorial e ambiental dos povos indígenas - PGTA, das comunidades do Acre, para que se possa ter uma política especifica de desenvolvimento e financiamento dessa política de gestão dos territórios.",19
Povos Indígenas,"Defesa dos direitos dos povos indígenas do Acre . Instauração do Conselho Estadual Indígena do Acre , previsto na Constituição Estadual do Acre, no Artigo 220-A, §4º, (Constituição Estadual do Acre). 
Para o fortalecimento das pastas que tratam de política indígenas e meio ambiente, cotas em concurso público para o acesso em todos os poderes e geração de políticas de emprego e renda;",19
Povos Indígenas,"Fundo de desenvolvimento socioeconômico dos povos indígenas do Acre. Criação do Fundo de desenvolvimento sócio-econômico dos povos indígenas do Acre, para garantir:
O desenvolvimento da economia indígena;
Proteção territorial;
Fortalecimento da educação escolar indígena, da saúde e cultural, com políticas de gênero que contemplem os povos indígenas;",19
Secretaria Geral da Presidência da República,"Criação do Fundo Nacional de Juventude ( FUNJUVE). O Fundo Nacional de Juventude (custeará) o fomento de políticas públicas, programas e projetos voltados para a juventude dos Municípios, Estados e Distrito Federal e da Sociedade Civil nos eixos de Saúde Educação, Desporto, Lazer, Cultura, Direitos Humanos e Meio Ambiente, bem como, garantir a participação juvenil de forma equânime e plural no espaço de controle social considerando os aspectos em cada região (território).",20
Secretaria Geral da Presidência da República,"Cooperativas como protagonistas de uma nova economia, como base estruturante para impulsionar o Brasil.. Fortalecer o papel do cooperativismo como parte da agenda estratégica do país, reconhecendo os diferenciais das sociedades cooperativas e seu alto impacto para o desenvolvimento de pessoas e comunidades. Com justiça social, adequado tratamento tributário ao ato cooperativo, legislações e políticas públicas de apoio e estímulo ao cooperativismo; espaços de representatividade e de participação; educação e formação profissional inclusiva, infraestrutura e logística adequada.",20
Secretaria Geral da Presidência da República,"Conselhos da juventude. Criar uma estrutura nos moldes dos conselhos nacionais, que seja ligada aos estudantes através dos Grêmios estudantis, para estimular a participação política dos jovens e promover a escuta de seus anseios.",20
Secretaria Geral da Presidência da República,"Desenvolvimento ao povos da flores juventude . Que o governo abra, uma linha de crédito rural para os jovens da agricultura familiar de 18 a 32 anos de idade; hoje eles tem muitos dificuldade em acessar as linhas de crédito rural, isso faz com que muito jovens nas comunidades rurais seja desalento. Essa medida irá trazer os jovens pro orçamento do governo.",20
Secretaria Geral da Presidência da República,"Fortalecimento dos Conselhos  de Participação Social . Criação de mecanismos para acompanhamentos dos conselhos estaduais e Municipais, criação de ouvidoria e estrutura de acompanhamento visando garantir o funcionamento dessas estruturas.",20
Pesca e Aquicultura,"Aplicação dos ""sisteminhas"" da EMBRAPA nas penitenciárias femininas. Conheça o Sisteminha Embrapa/UFU/Fapemig e suas principais vantagens . Fomentar a aplicação da ferramenta Sisteminha Embrapa/UFU/Fapemig nas penitenciárias femininas dos Estados, através da integração do MJ, das Mulheres e da MPA. Como é possível verificar no próprio site da Instituição, o Sisteminha é uma ferramenta que possibilita a produção integrada de alimentos. Trazendo para o contexto das mulheres presas no Brasil, esse projeto pode possibilitar a implementação de capacitação, ampliando as oportunidades de geração de renda para elas.",12
Secretaria Geral da Presidência da República,"Urnas eletrônicas com voto impresso. Para termos mais confiabilidade nos pleitos eleitorais, incluir a impressão dos votos.",20
Secretaria Geral da Presidência da República,"Brasil mais justo! . Estimular a participação social na formulação de políticas públicas, por meio da democracia participativa. Acabar com o paternalismo político e com amarras políticas de 2 em 2 anos no Brasil, como um sistema eleitoral que desarme o apadrinhamento e corrupção que há décadas destrói a vida da população brasileira, que sofre com o subfinanciamento público e fica a mercê de cargos políticos não técnicos. Que secretários sejam técnicos e tenham um corpo técnico em sua área de atuação, não político.",20
Povos Indígenas,"Atendimento veterinário aos animais das aldeias indigenas. A proximidade dos indígenas com seus cães e gatos, especialmente pelas crianças, e embasados no conceito de Saúde Única, exije que a saúde indígena inclua o atendimento veterinário com controle de ecto e endo parasitas, campanhas de castração, e acidentes peçonhentos ou com outros animais.",19
Secretaria Geral da Presidência da República,"Células de Soberania Popular. Construir células físicas e redes digitais que permitam sistematicamente a integração das populações, auto-organização e inovação social, protagonismo, democratização da ciência e promoção de ações e políticas públicas a nível local.
A ferramenta das células é a comunicação, com funções de deliberação popular, de ensino e estratégias de autoativação.
As células serão espaços físicos e online de discussão, avaliação (feedback) e de propostas da população com relação direta com o poder público.",20
Pesca e Aquicultura,"Pesca sustentável. Proteger o modelo da pesca sustentável, por meio do fortalecimento das cadeias produtivas dos pescadores artesanais e considerando as dimensões ecológica, econômica, social e cultural dessa atividade, para gerar trabalho, renda, contribuir para a segurança alimentar e garantir o modo de vida das comunidades tradicionais e ribeirinhas.",12
Pesca e Aquicultura,Pesca e Aquicultura . Pesca e Aquicultura,12
Povos Indígenas,"Programa: Demarcação e Gestão dos Territórios Indígenas para o Bem Viver, Sustentabilidade e Enfrentamento à Emergência Climática. : Garantir aos povos indígenas o reconhecimento, a posse plena e a sustentabilidade dos seus territórios com usufruto exclusivo, assegurando plenas condições materiais de alcance do bem viver, a integridade do patrimônio indígena, o ambiente saudável, protegido e conservado, soberania alimentar, bem como justiça socioambiental e climática, respeitando sua autodeterminação, sua pluralidade étnico-cultural e seu protagonismo na gestão das políticas públicas que lhes são afetas.",19
Povos Indígenas," Programa: Direitos Pluriétnicos-Culturais e Sociais para o Pleno Exercício da Cidadania e o Bem Viver dos Povos Indígenas. Reconhecer e efetivar os direitos pluriétnico-culturais e sociais dos povos indígenas, assegurando a preservação e a valorização dos seus saberes, culturas, tradições, línguas e memórias, bem como o pleno exercício da cidadania e o acesso culturalmente adequado às políticas e serviços públicos de garantia dos direitos sociais, respeitando sua autodeterminação, sua pluralidade étnico-cultural e seu protagonismo na gestão das políticas públicas que lhes são afetadas",19
Povos Indígenas,"Reconhecimento indígina . Que a auto declaração junto com o reconhecimento parental dos Caciques, lideranças, pajé, ansiões das aldeias se faça novamente o RANI, que foi extinto",19
Secretaria Geral da Presidência da República,"Dados para construção de Políticas Públicas para Juventude . As políticas públicas para os jovens brasileiros reduziram cerca de 50% entre os anos de 2020 a 2021. Portanto, proposta de criação de um banco de dados científicos (regionais/estaduais), instrumentalizados pelos jovens de universidades públicas no campo das humanas(pesquisa e senso) para exatas(trato de dados). Acessível e integrado ao governo que auxiliam para a criação de políticas públicas para os jovens, assegurados pelo Estatuto da Juventude (12.852/13), das mais diversas regiões e grupos;",20
Relações Exteriores," Fortalecimento do Mercosul e do BRICS através do Espanhol e Inglês como língua adicional para os Brasileiros. . Os países fronteiriços com o Brasil tem no idioma Espanhol um componente que pode vir a ser um forte aliado na reorganização e fortalecimento do Mercosul. Temos 11 idiomas, mas só fala-se o Português como língua oficial e seria oportuno que o MEC tratasse o Espanhol como língua adicional já na educação de base, junto com o idioma inglês, ao invés de língua estrangeira. Além de preparar a sociedade para aptidões linguísticas ,teríamos plenas condições de avanços na Economia e Tecnologia.",31
Secretaria Geral da Presidência da República,Crie sua proposta. Crie sua proposta.........................................................................,20
Relações Exteriores,"Entretenimento . Promover curtas, longas e séries de assuntos relacionados a história do Brasil e também de assuntos fictícios gerando a aproximação de blocos específicos políticos mais populares no âmbito internacional afim de projetar a mídia brasileira no topo do mercado se aproveitando do vácuo de poder gerado pelos atuais líderes mediante às relações q criaram ao longo dos últimos anos.",31
Secretaria Geral da Presidência da República,"Regulamentar, implementar e incentivar a participação dos cidadãos nas atividades legislativas e executivas dos entes federativos. Com o avanço das tecnologias e a democratização do acesso à internet, faz sentido que, rompendo barreiras geográficas, as pessoas possam discutir e deliberar junto a seus governantes nos assuntos que dizem respeito ao interesse público. Assim, em uma espécia de democracia semi direta, podemos alcançar uma maior participação social e uma maior eficiência e eficácia nos programas governamentais e na fiscalização deles.",20
Pesca e Aquicultura,"Pol´ítica pública e programa de incentivos aos pequenos e médios negócios da economia azul. A PNRM possui foco em grandes empreendimentos de exploração do mar, mas negligencia os pequenos e médios negócios que poderiam aprimorar a pesca artesanal, estimular a criação das fazendas marinhas com o cultivo de crustáceos. algas e bivalves, estabelecer o turismo de base comunitária e náutico, além de uma série de outras atividades econômicas ligadas à economia do mar que são capazes de gerar emprego e renda às populações litorâneas, caiçaras e pequenos empreendedores.",12
Secretaria Geral da Presidência da República,"Criação do Fundo Estadual das Juventudes Paraenses. Propomos a criação de um fundo estadual voltado para a promoção de políticas públicas e projetos que atendam as juventudes do Estado do Pará, atrelado ao Conselho de Juventude do Estado do Pará. O fundo ajudará a garantir que milhares de jovens negros, indígenas, quilombolas, ribeirinhos, LGBTI+, das diferentes regiões do estado tenham acesso aos seus direitos. O COJUEPA reúne jovens representantes das 12 regiões de integração do estado e poderá auxiliar na boa utilização desses recursos.",20
Povos Indígenas,"Cota Indígena em Concursos Públicos Federeis. Incluir cotas em concurso público federal a cota para indígenas, além de atender os deficientes e afrodescendentes, 

A missão de corrigir desigualdades que impedem grupos sociais historicamente discriminados de acessar não somente o ensino superior no Brasil, como o ingresso em concursos públicos.

Políticas de cotas para os povos indígenas em concursos federais !",19
Povos Indígenas,"Povo indígenas. . '- Garantir a demarcação,  proteção ambiental e territorial dos territórios indígenas. 
- Incentivo para Vigilância, monitoramento e brigada de incêndio nos territórios indígenas 
- Aumentar o recurso do Sistema de Atenção a Saúde indígena para recuperação, prevenção e promoção da saúde indígena e saúde da mulher indígena. 
- Implantar sistema específico de empreendedorismo, turismo comunitário, sustentabilidade e geração de renda para os povos indígenas.
- Implantar sistema de educação indígena.",19
Secretaria Geral da Presidência da República,"A Juventude é a força 💪. Abrir mais cursos para os estudantes dentro das escolas, cursos profissionais para ter de verdade uma chance de trabalhar há 1 primeira vez.",20
Secretaria Geral da Presidência da República,Juventude conectada . Levar aulas de informática aos jovens de todas as comunidades através de computadores e internet via satélite,20
Secretaria Geral da Presidência da República,"Valorização da Mulher Amazônida . Criação do Fórum Amazônida para Mulheres com Estratégia para a Educação, Relações Étnicos-Raciais da Mulher Amazônida.",20
Secretaria Geral da Presidência da República,Proposta juventude 1. Maior investimento para políticas de juventude no brasil.,20
Secretaria Geral da Presidência da República,0078955525000100427. Quero que os jovens tenham oportunidade de trabalhar estudar eo que nos jovens merecemos ter oportunidade de tudo,20
Secretaria Geral da Presidência da República,Mais programas de empregabilidade para a juventude . Para o bem viver de todos.,20
Pesca e Aquicultura,"Pesca Artesanal, políticas específicas para pescadoras. Reconhecimento e visibilidade dos trabalhos e da produção das .mulheres na cadeia produtiva da pesca, garantindo políticas públicas específicas para as Pescadoras, de acordo com as diferentes realidades de pesca ( rio, lagos, lagoas, açudes,, estuaários e mar)",12
Secretaria Geral da Presidência da República,"Juventude e suas oportunidades  do 1°emprego. Desde sempre há entravés no começo de nossas atividades trabalhistas e empregativas para a juventudes de nosso Brasilsou do norte amapaense e vejo as dificuldades  de nossa região em si desenvolve e projetar o futuro destes jovens  e qualifica-los para o mercado de trabalho e permaneça em seus estados,a migração ocorre de montão para outros estados e não vejo uma política para amparar sua fixação em seu estado por falta de recursos provenientes do governo no Amapá nossos jovens estão indo embora",20
Secretaria Geral da Presidência da República,"Apoio aos jovens sem fonte de renda própria . Aumentar a bolsa jovem de 150, para 200 R$ no mínimo.
Os jovens sem emprego, sem fonte de renda própria também precisam de ajuda dos maiorais .",20
Secretaria Geral da Presidência da República,"Direito e participação dos jovens nas elaborações do governo federal  . Garantir a participação juvenil na elaboração e acompanhamento das políticas públicas, promovendo seminários, fóruns e debates;
Garantir espaços para a juventude nos conselhos municipais;",20
Pesca e Aquicultura,"Pesca e Aquicultura Sustentável. Descompartilhamento Ministério da Pesca e Meio Ambiente. o desenvolvimento da pesca e aquicultura no Brasil, Fortalecer as cadeias produtivas para gerar trabalho e renda, contribuindo para a segurança alimentar, melhorar a produtividade do setor. Dotar o setor Produtivo de infraestrutura e tecnologia, Que os recursos sejam aplicados pelas entidade, Secretarias de pesca e aquicultura com recursos para desenvolvimento do setor primário, Pesquisa e assistência técnica com infraestrutura.",12
Pesca e Aquicultura,"Pesca, Aquicultura e Meio Ambiente. Autonomia das Superintendências ferais de pesca e aquicultura, Secretarias de pesca e aquicultura estaduais, infraestruturas de portos, Câmaras frigoríficas, Fábricas de gelo (50 ton Dia), Caminhões frigoríficos, caminhão Baú, Máquinas para escavação de tanques psicultura, embarcação de pesca, tecnologia pra embarcação de pesca,
Praticas inovadoras em gestão de unidade para preservação ambientaç, investimento para garantir as entidades e ONGs para preservação ambiental, entidade sustentável.",12
Povos Indígenas,"PEC: Atividade econômica em terras indígenas.. Proposta de Emenda à Constituição ao art. 231, §3º da CF, estabelecendo que o aproveitamento dos recursos hídricos e florestais, incluindo os potenciais energéticos, a pesquisa e a lavra das riquezas minerais em terras de comunidades tradicionais e indígenas somente poderão ser realizadas pela própria comunidade local, em parceria e apoio técnico da União, ouvido o órgão de proteção das referidas comunidades, após autorização do Congresso Nacional.",19
Povos Indígenas,"Politicas Publicas Para Povos Indigenas. 1. Criação de um Programa para Demarcação, Desintrusão e Proteção dos Territórios Indígenas; E também a criação de Universidade Nacional para os Povos Indígenas, com  instalações adequadas para acolhimento aos estudantes indígenas, criando cursos específicos e diferenciados que atendam as demandas dos Povos e ainda criar uma Central de Regulação de Saúde Indígena, ampliando a Rename para atender as demanda na área da saúde.",19
